Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
0.448,-0.073235686,0.898801598,-0.000939277,,,
0.452,0.926764314,-0.101198402,-0.000983208,,,
0.456,-0.073235686,-0.101198402,-0.001027066,,,
0.46,-0.073235686,-0.101198402,-0.001070852,,,
0.464,-0.073235686,-0.101198402,-0.001114565,,,
0.468,-0.073235686,-0.101198402,-0.001158205,,,
0.472,-0.073235686,-0.101198402,-0.001201773,,,
0.476,-0.073235686,-0.101198402,-0.001245268,,,
0.48,0.926764314,0.898801598,-0.000839174,,,
0.484,-0.073235686,-0.101198402,-0.000883271,,,
0.488,-0.073235686,-0.101198402,-0.000927295,,,
0.492,-0.073235686,-0.101198402,-0.000971246,,,
0.496,-0.073235686,-0.101198402,-0.001015124,,,
0.5,-0.073235686,-0.101198402,-0.00105893,,,
0.504,-0.073235686,-0.101198402,-0.001102662,,,
0.508,-0.073235686,0.898801598,-0.000696804,,,
0.512,-0.073235686,0.898801598,-0.00029162,,,
0.516,-0.073235686,-0.101198402,-0.000336627,,,
0.52,-0.073235686,-0.101198402,-0.000381558,,,
0.524,-0.073235686,-0.101198402,-0.000426415,,,
0.528,-0.073235686,-0.101198402,-0.000471198,,,
0.532,-0.073235686,-0.101198402,-0.000515906,,,
0.536,-0.073235686,-0.101198402,-0.00056054,,,
0.54,-0.073235686,-0.101198402,-0.0006051,,,
0.544,-0.073235686,-0.101198402,-0.000649586,,,
0.548,-0.073235686,-0.101198402,-0.000693998,,,
0.552,-0.073235686,-0.101198402,-0.000738337,,,
0.556,-0.073235686,-0.101198402,-0.000782602,,,
0.56,-0.073235686,-0.101198402,-0.000826793,,,
0.564,-0.073235686,-0.101198402,-0.000870911,,,
0.568,-0.073235686,-0.101198402,-0.000914956,,,
0.572,0.926764314,-0.101198402,-0.000958927,,,
0.576,-0.073235686,-0.101198402,-0.001002826,,,
0.58,-0.073235686,-0.101198402,-0.001046652,,,
0.584,-0.073235686,-0.101198402,-0.001090405,,,
0.588,0.926764314,-0.101198402,-0.001134085,,,
0.592,0.926764314,-0.101198402,-0.001177693,,,
0.596,-0.073235686,-0.101198402,-0.001221228,,,
0.6,-0.073235686,-0.101198402,-0.001264691,,,
0.604,-0.073235686,-0.101198402,-0.001308082,,,
0.608,-0.073235686,-0.101198402,-0.001351401,,,
0.612,-0.073235686,-0.101198402,-0.001394649,,,
0.616,-0.073235686,-0.101198402,-0.001437824,,,
