File Name, mua, musp
A3_2.0.csv, 0.001964915742380159, 0.0008197326013162278
A5_2.0.csv, 0.00653678318016371, 0.000550639976935234
A7_2.0.csv, 0.2063394483837556, 3.280616926719368e-05
B2_2.0.csv, 0.0015934784699007678, 0.00043741835099060986
B3_2.0.csv, 0.0025775937138961696, 0.0004613548602562237
B5_2.0.csv, 0.0024902654157741635, 0.0006490360921436832
B7_2.0.csv, 0.0005954283255868895, 0.0012084040873952826
C2_2.0.csv, 0.0011129256762602174, 0.0003658912030441835
C3_2.0.csv, 0.0022432920296502758, 0.0003627786103828332
C5_2.0.csv, 0.0010715767455283477, 0.0006459712920833747
C7_2.0.csv, 0.024155496674245002, 9.337215582025848e-05
D2_2.0.csv, 0.0008626142186545304, 0.00030482237971068006
D3_2.0.csv, 0.0010278275360030562, 0.00037570741129506173
D5_2.0.csv, 0.015259998664185707, 0.00012117982759853617
D7_2.0.csv, 0.44379238183997044, 2.5482621615623215e-06
irf_1.csv, 0.35266497791840723, 0.09355006080560943
irf_2.csv, 0.44451158572658755, 0.12902500300636263
