File Name, mua, musp
A3_2.0.csv, 0.0019649157482151936, 0.0008197325978098031
A5_2.0.csv, 0.0065367839140514465, 0.0005506399335086563
A7_2.0.csv, 0.20634387260554848, 3.2805482247696226e-05
B2_2.0.csv, 0.001593478529064696, 0.0004374183440737111
B3_2.0.csv, 0.0025775936346522665, 0.0004613548679549109
B5_2.0.csv, 0.0024902651964184923, 0.0006490361183076811
B7_2.0.csv, 0.0005954272114345859, 0.00120840444289396
C2_2.0.csv, 0.001112925673343799, 0.00036589120336479747
C3_2.0.csv, 0.0022432919864568213, 0.0003627786149253198
C5_2.0.csv, 0.0010715767717374364, 0.0006459712885749367
C7_2.0.csv, 0.024155452925517407, 9.337231112560478e-05
D2_2.0.csv, 0.0008626142386839093, 0.00030482237711991153
D3_2.0.csv, 0.001027827491653411, 0.0003757074176985188
D5_2.0.csv, 0.015260038862290094, 0.00012117954118533588
D7_2.0.csv, 0.44379287855602423, 2.5482580550531655e-06
irf_1.csv, 0.3816826438723782, 0.15686233084561405
irf_2.csv, 0.41425549135439743, 0.16028315602406398
